Titre,Article,Paragraphe,Sous_paragraphe,Imputation,Budget_01_2018,Budget_02_2018,Budget_2018
1,01101,00,00,المعلوم على العقارات المبنية,,,40000000
1,01102,00,00,المعلوم على الأراضي غير المبنية,,,3317282
1,01203,00,00,معلوم الإجازة الموظف على محلات بيع المشروبات,,,500000
1,02101,00,00,مداخيل الأسواق اليومية والأسبوعية والظرفية,,,130600000
1,02201,01,00,لزمة معلوم الذبح,,,1800000
1,02402,00,00,معلوم الإشغال الوقتي للطريق العام,,,4000000
1,02403,00,00,معلوم وقوف العربات بالطريق العام,,,1000000
1,02404,00,00,معلوم إشغال الطريق العام بمناسبة حضائر البناء,,,3000000
1,02406,00,00,معلوم الإشهار,,,500000
1,03101,00,00,معلوم التعريف بالإمضاء,,,17000000
1,03102,00,00,معلوم الإشهاد بمطابقة النسخ للأصل,,,6000000
1,03199,00,00,معلوم تسليم الشهائد والحجج الأخرى,,,5000000
1,03202,00,00,معلوم رخص إشغال الطريق العام لتعاطي بعض المهن,,,500000
1,03203,00,00,معلوم رخص الحفلات المنظمة بمناسبة الأفراح العائلية,,,2000000
1,03206,00,00,معلوم رخص البناء,,,7000000
1,03302,00,00,معاليم الإيواء بمستودع الحجز,,,500000
1,03304,00,00,معاليم مقابل رفع الفضلات المتأتية من نشاط المحلات التجارية أو الصناعية أو المهنية,,,3300000
1,03399,00,00,معاليم أخرى مقابل إسداء خدمات,,,4000000
1,05201,00,00,مداخيل كراء عقارات معدة لنشاط تجاري,,,55000000
1,05202,00,00,مداخيل كراء عقارات معدة لنشاط مهني,,,9500000
1,05203,00,00,مداخيل كراء عقارات معدة لنشاط صناعي,,,65000000
1,05206,00,00,مداخيل كراء المنابت والحدائق والمنتزهات ومراكز الترفيه,,,4000000
1,06001,00,00,المناب من المال المشترك,,,510000000
1,06006,00,00,مداخيل المخالفات لتراتيب حفظ الصحة والشرطة الصحية,,,500000
2,07001,01,01,منح مسندة من صندوق القروض ومساعدة الجماعات المحلية-/-نقل فواضل,,,0
2,07001,01,02,منح مسندة من صندوق القروض ومساعدة الجماعات المحلية-/-موارد السنة,,,300000000
2,08001,02,00,المبالغ المقامة من الفواضل غير المستعملة من العنوان الأول للسنة الأخيرة,,,30000000
2,08001,03,00,الفواضل غير المستعملة من العنوان الأول للسنة  السابقة للسنة الأخيرة والمؤمنة بالعمليات الخارجة عن الميزانية,,,21234501
1,01201,01,00,المقابيض الاعتيادية للمعلوم على المؤسسات ذات الصبغة الصناعية أو التجارية أو المهنية,,,60000000
1,03303,01,00, المقابيض الاعتيادية  للمعلوم الإضافي على سعر التيار الكهربائي,,,29187000
1,03303,02,00, المبالغ المتأتية من المعلوم الإضافي على سعر التيار الكهربائي باعتماد آلية التعديل لصندوق التعاون بين الجماعات المحلية,,,24813000
2,08005,01,00,نقل فواضل,,,0
1,06099,01,00,مبالغ بعنوان مصاريف إدارة وتصرّف واستخلاص لفائدة الغير,,,500000
2,08001,01,00,نقل فواضل,,,0
1,06003,00,00,منح ومساهمات مخصّصة للتسيير,,,0
1,06003,00,00,منح ومساهمات مخصّصة للتسيير,,,0
1,06003,00,00,منح ومساهمات مخصّصة للتسيير,,,0
1,06003,00,00,منح ومساهمات مخصّصة للتسيير,,,0
1,06003,00,00,منح ومساهمات مخصّصة للتسيير,,,0
